id	label
813	1
814	1
815	1
816	1
817	0
818	0
819	0
820	0
821	1
822	1
823	1
824	1
825	1
826	1
827	1
828	1
829	1
830	1
831	1
832	1
833	0
834	1
835	0
836	1
837	1
838	0
839	0
840	0
841	0
842	1
843	0
844	1
845	0
846	1
847	1
848	0
849	1
850	0
851	1
852	0
853	1
854	0
855	0
856	1
857	0
858	0
859	1
860	0
861	1
862	1
863	1
864	1
865	0
866	1
867	1
868	0
869	1
870	1
871	0
872	0
873	1
874	1
875	0
876	0
877	1
878	0
879	1
880	1
881	1
882	1
883	1
884	1
885	1
886	1
887	1
888	1
889	1
890	1
891	1
892	0
893	1
894	1
895	0
896	1
897	1
898	1
899	1
900	1
901	1
902	1
903	1
904	1
905	1
906	0
907	1
908	1
909	1
910	0
911	1
912	1
913	0
914	1
915	1
916	1
917	1
918	0
919	1
920	0
921	1
922	0
923	0
924	1
925	1
926	1
927	1
928	1
929	1
930	1
931	0
932	0
933	1
934	0
935	1
936	1
937	1
938	1
939	1
940	1
941	1
942	0
943	1
944	1
945	1
946	1
947	0
948	0
949	0
950	0
951	0
952	0
953	1
954	1
955	0
956	0
957	1
958	1
959	1
960	1
961	1
962	1
963	1
964	1
965	1
966	0
967	1
968	0
969	1
970	1
971	1
972	0
973	0
974	1
975	0
976	1
977	0
978	1
979	1
980	0
981	1
982	0
983	1
984	1
985	1
986	1
987	1
988	1
989	1
990	1
991	1
992	1
993	0
994	0
995	1
996	1
997	0
998	1
999	1
1000	0
1001	0
1002	0
1003	1
1004	1
1005	0
1006	1
1007	0
1008	1
1009	0
1010	1
1011	0
1012	1
1013	1
1014	1
1015	1
1016	1
1017	1
1018	1
1019	1
1020	1
1021	1
1022	1
1023	0
1024	1
1025	1
1026	1
1027	1
1028	1
1029	1
1030	1
1031	0
1032	1
1033	0
1034	1
1035	0
1036	0
1037	0
1038	1
1039	1
1040	1
1041	1
1042	1
1043	1
1044	1
1045	1
1046	1
1047	1
1048	1
1049	1
1050	1
1051	0
1052	1
1053	0
1054	1
1055	0
1056	1
1057	1
1058	1
1059	0
1060	0
1061	1
1062	1
1063	1
1064	1
1065	0
1066	1
1067	1
1068	0
1069	1
1070	1
1071	1
1072	1
1073	0
1074	1
1075	0
1076	1
1077	1
1078	0
1079	1
1080	0
1081	0
1082	1
1083	1
1084	0
1085	1
1086	1
1087	0
1088	1
1089	1
1090	1
1091	0
1092	1
1093	1
1094	0
1095	1
1096	0
1097	1
1098	1
1099	1
1100	0
1101	0
1102	0
1103	1
1104	1
1105	0
1106	1
1107	1
1108	0
1109	1
1110	1
1111	1
1112	0
1113	0
1114	1
1115	1
1116	0
1117	1
1118	1
1119	1
1120	1
1121	1
1122	1
1123	1
1124	0
1125	1
1126	1
1127	1
1128	0
1129	0
1130	0
1131	1
1132	1
1133	1
1134	1
1135	1
1136	0
1137	1
1138	1
1139	1
1140	1
1141	1
1142	0
1143	0
1144	1
1145	1
1146	1
1147	0
1148	1
1149	1
1150	0
1151	0
1152	0
1153	0
1154	1
1155	1
1156	1
1157	1
1158	0
1159	1
1160	1
1161	0
1162	1
1163	1
1164	0
1165	0
1166	0
1167	1
1168	1
1169	1
1170	1
1171	1
1172	1
1173	1
1174	0
1175	1
1176	0
1177	1
1178	0
1179	1
1180	0
1181	1
1182	1
1183	1
1184	1
1185	1
1186	1
1187	1
1188	1
1189	1
1190	0
1191	0
1192	1
1193	1
1194	0
1195	1
1196	1
1197	0
1198	1
1199	1
1200	0
1201	1
1202	1
1203	1
1204	0
1205	1
1206	0
1207	0
1208	0
1209	1
1210	1
1211	1
1212	1
1213	1
1214	0
1215	1
1216	0
1217	1
1218	1
1219	0
1220	0
1221	1
1222	1
1223	1
1224	1
1225	1
1226	1
1227	1
1228	1
1229	1
1230	0
1231	1
1232	1
1233	0
1234	1
1235	0
1236	1
1237	1
1238	1
1239	1
1240	1
1241	0
1242	1
1243	1
1244	1
1245	1
1246	1
1247	1
1248	1
1249	1
1250	1
1251	1
1252	1
1253	1
1254	1
1255	0
1256	1
1257	1
1258	0
1259	1
1260	1
1261	1
1262	1
1263	1
1264	0
1265	1
1266	1
1267	0
1268	0
1269	0
1270	0
1271	1
1272	0
1273	0
1274	0
1275	0
1276	0
1277	1
1278	0
1279	1
1280	1
1281	0
1282	1
1283	0
1284	1
1285	1
1286	1
1287	1
1288	1
1289	0
1290	1
1291	1
1292	1
1293	1
1294	0
1295	1
1296	0
1297	1
1298	1
1299	1
1300	0
1301	1
1302	1
1303	1
1304	1
1305	1
1306	0
1307	1
1308	1
1309	0
1310	1
1311	1
1312	1
1313	1
1314	1
1315	1
1316	1
1317	1
1318	0
1319	0
1320	1
1321	1
1322	1
1323	1
1324	0
1325	1
1326	1
